MOF_name,Load [molecules/UC],Load [mol/kg framework],Enthalpy_Ads [KJ/mol],Host_Ads_vdW [K],Host_Ads_Coul [K],Ads_Ads_vdW [K],Ads_Ads_Coul [K],Ave_Heat_Cap [J/mol/K],Total_E [K],Ave_Dens [kg/m3],Fugacity [Pa],Molecule
SR_fsi_v1-4c_bicyclooctane_Ch_v2-4c_bicyclooctane_Ch_v3-6c_Cr_1_Ch_1TrU_Ch_1B_4H_Ch_1x2x1,100.9606000000,6.7224660985,-31.06390,-784899.078491,0.00000,-239889.587871,0.00000,21612.39380,-448643.83781,325.41026,98295.62964388793625,23-dmb_433K_1Bar
SR_fsk_v1-6c_Zn_1_Ch_v2-4c_bicyclooctane_Ch_v3-4c_bicyclooctane_Ch_2B_2CH3_Ch_ntn_edge_1x2x1,141.5304000000,8.8824238983,-17.91956,-417942.823946,0.00000,-152131.555627,0.00000,17730.79676,-164422.56063,285.68431,98295.62964388793625,23-dmb_433K_1Bar
SR_fsk_v1-6c_Zr_1_Ch_v2-4c_1anC_Ch_v3-4c_bicyclooctane_Ch_1TrU_Ch_1x2x2,28.7982000000,1.2552911704,-21.61085,-135659.905755,0.00000,-7932.903286,0.00000,4552.48904,-59992.70430,109.33547,98295.62964388793625,23-dmb_433K_1Bar
SR_fsm_v1-6c_Zn_1_Ch_v2-4c_1anC_Ch_v3-4c_1anC_Ch_1B_2CF3_Ch_1x2x2,55.2234000000,1.6833459625,-38.14924,-333329.815566,0.00000,-28447.051042,0.00000,6966.87624,-203111.36282,178.40176,98295.62964388793625,23-dmb_433K_1Bar
SR_fsm_v1-6c_Zn_1_Ch_v2-4c_bicyclooctane_Ch_v3-4c_bicyclooctane_Ch_1DoU_Ch_1TrU_Ch_ntn_edge_1x2x2,78.2844000000,5.4845382032,-33.88825,-336923.501247,0.00000,-90854.718091,0.00000,7433.33858,-204221.60639,329.18277,98295.62964388793625,23-dmb_433K_1Bar
SR_fsm_v1-6c_Zr_1_Ch_v2-4c_bicyclooctane_Ch_v3-4c_bicyclooctane_Ch_ntn_edge_1DoU_Ch_1TrU_Ch_1x2x2,17.8320000000,0.7654896851,-30.01877,-90801.172429,0.00000,-3654.189727,0.00000,1776.23294,-43357.80791,77.96889,98295.62964388793625,23-dmb_433K_1Bar
SR_fsx_v1-5c_bicyclooctane_Ch_v2-6c_Zn_1_Ch_1TrU_Ch_1DoU_Ch_2x2x1,69.6990000000,4.8889035284,-30.41538,-277064.227978,0.00000,-70856.646939,0.00000,10384.72052,-148870.04676,295.81921,98295.62964388793625,23-dmb_433K_1Bar
SR_gar_v1-4c_1anC_Ch_v2-6c_Zr_1_Ch_1B_2SH_Ch_1x1x1,61.3436000000,1.9046713462,-23.84221,-263035.026480,0.00000,-39916.344975,0.00000,6572.75350,-127198.30424,162.88668,98295.62964388793625,23-dmb_433K_1Bar
SR_gee_v1-4c_Cu_1_Ch_v2-3c_triazine_Ch_v3-4c_Cu_1_Ch_ntn_edge_2x2x2,101.7280000000,3.4697662655,-33.33194,-424842.727112,0.00000,-101174.631144,0.00000,12531.99206,-231918.28919,285.72774,98295.62964388793625,23-dmb_433K_1Bar
SR_geo_v1-3c_B_Ch_v2-3c_pyrrole_Ch_v3-4c_Cu_1_Ch_ntn_edge_1DoU_Ch_2x2x2,52.6580000000,2.1122617753,-40.03817,-297587.242617,0.00000,-42066.392921,0.00000,5503.96576,-188909.40439,189.47333,98295.62964388793625,23-dmb_433K_1Bar
SR_geo_v1-3c_pyrrole_Ch_v2-3c_triazine_Ch_v3-4c_Cu_1_Ch_1B_2SH_Ch_ntn_edge_1x1x1,49.9660000000,6.1023973215,-14.28399,-169581.595712,0.00000,-44143.459492,0.00000,6494.26859,-71331.84405,240.66238,98295.62964388793625,23-dmb_433K_1Bar
